game_id,date,home_score,away_score,home_win
776155,2025-09-27,1,6,0
776150,2025-09-27,3,5,0
776154,2025-09-27,2,4,0
776151,2025-09-28,4,3,1
776138,2025-09-28,2,9,0
776137,2025-09-28,4,0,1
776141,2025-09-28,2,1,1
776143,2025-09-28,0,8,0
776140,2025-09-28,3,2,1
776135,2025-09-28,2,6,0
776145,2025-09-28,13,4,1
776136,2025-09-28,12,4,1
776139,2025-09-28,1,6,0
776147,2025-09-28,9,8,1
776148,2025-09-28,4,0,1
776144,2025-09-28,4,2,1
776149,2025-09-28,4,1,1
776142,2025-09-28,2,0,1
813072,2025-09-30,1,2,0
813066,2025-09-30,3,1,1
813074,2025-09-30,1,3,0
813069,2025-09-30,10,5,1
813071,2025-10-01,6,1,1
813064,2025-10-01,0,3,0
813070,2025-10-01,4,3,1
813068,2025-10-01,8,4,1
813073,2025-10-02,3,6,0
813059,2025-10-02,3,1,1
813065,2025-10-02,4,0,1
813047,2025-10-04,9,3,1
813063,2025-10-04,10,1,1
813051,2025-10-04,3,5,0
813058,2025-10-04,2,3,0
813062,2025-10-05,13,7,1
813057,2025-10-05,3,2,1
813052,2025-10-06,3,4,0
813048,2025-10-06,7,3,1
813056,2025-10-07,4,8,0
813061,2025-10-07,9,6,1
813055,2025-10-08,9,3,1
813049,2025-10-08,4,3,1
813060,2025-10-08,2,5,0
813041,2025-10-08,2,8,0
813042,2025-10-09,2,1,1
813050,2025-10-09,6,0,1
813054,2025-10-10,3,2,1
813046,2025-10-11,3,1,1
813040,2025-10-12,1,3,0
813044,2025-10-13,3,10,0
813036,2025-10-13,1,2,0
813034,2025-10-14,1,5,0
813043,2025-10-15,4,13,0
813033,2025-10-16,3,1,1
813035,2025-10-16,2,8,0
813039,2025-10-17,6,2,1
813031,2025-10-17,5,1,1
813038,2025-10-19,6,2,1
813037,2025-10-20,4,3,1
813027,2025-10-24,11,4,1
813026,2025-10-25,1,5,0
813032,2025-10-27,6,5,1
813023,2025-10-28,2,6,0
813022,2025-10-29,1,6,0
813025,2025-10-31,1,3,0
813024,2025-11-01,4,5,0
832034,2026-02-20,2,0,1
832033,2026-02-20,18,3,1
831829,2026-02-20,3,7,0
832042,2026-02-20,1,8,0
831959,2026-02-20,2,3,0
831764,2026-02-20,7,4,1
832043,2026-02-20,10,3,1
831598,2026-02-21,2,1,1
831544,2026-02-21,2,8,0
831494,2026-02-21,2,6,0
831654,2026-02-21,2,7,0
831543,2026-02-21,1,5,0
831655,2026-02-21,20,3,1
831542,2026-02-21,3,0,1
831497,2026-02-21,1,2,0
831900,2026-02-21,4,2,1
831775,2026-02-21,3,10,0
831732,2026-02-21,2,3,0
831948,2026-02-21,11,2,1
831872,2026-02-21,6,11,0
832063,2026-02-21,2,15,0
831750,2026-02-21,5,10,0
831878,2026-02-21,6,9,0
831657,2026-02-22,4,4,0
831548,2026-02-22,5,6,0
831596,2026-02-22,7,4,1
831656,2026-02-22,11,10,1
831484,2026-02-22,3,4,0
